"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"296","Freaky Friday",20,"Freaky Friday",25642000,25642000,"100%","-","-",1977,1336,"Freaky Friday (1972), Mary Rodgers",1972,2003,31
"297","Freaky Friday",20,"Freaky Friday",25642000,25642000,"100%","-","-",1977,1334,"Freaky Friday (1972), Mary Rodgers",1972,1976,4
"298","Freaky Friday",20,"Freaky Friday",25642000,25642000,"100%","-","-",1977,1335,"Freaky Friday (1972), Mary Rodgers",1972,1995,23
"299","Freaky Friday",35,"Freaky Friday",160846332,110230332,"68.5%","$50,616,000","31.5%",2003,1337,"Freaky Friday (1972), Mary Rodgers",1972,2018,46
"300","Freaky Friday",35,"Freaky Friday",160846332,110230332,"68.5%","$50,616,000","31.5%",2003,1336,"Freaky Friday (1972), Mary Rodgers",1972,2003,31
"301","Freaky Friday",35,"Freaky Friday",160846332,110230332,"68.5%","$50,616,000","31.5%",2003,1334,"Freaky Friday (1972), Mary Rodgers",1972,1976,4
"302","Freaky Friday",35,"Freaky Friday",160846332,110230332,"68.5%","$50,616,000","31.5%",2003,1335,"Freaky Friday (1972), Mary Rodgers",1972,1995,23
"303","Freejack",72,"Freejack",17129026,17129026,"100%","-","-",1992,1712,"Immortality, Inc. (1959), Robert Sheckley",1959,1992,33
"304","Fried Green Tomatoes",11,"Fried Green Tomatoes",82418501,82418501,"100%","-","-",1991,1341,"Fried Green Tomatoes at the Whistle Stop Cafe (1987), Fannie Flagg",1987,1991,4
"305","Funny Farm",40,"Funny Farm",25537221,25537221,"100%","-","-",1988,1353,"Funny Farm (1985), Jay Cronley",1985,1988,3
"306","Gardens of Stone",108,"Gardens of Stone",5262047,5262047,"100%","-","-",1987,1370,"Gardens of Stone (1983), Nicholas Proffitt",1983,1987,4
"307","Gas Food Lodging",165,"Gas Food Lodging",1342613,1342613,"100%","-","-",1992,931,"Don't Look and It Won't Hurt (1971), Richard Peck",1971,1992,21
"308","Get Carter",118,"Get Carter",19412993,14967182,"77.1%","$4,445,811","22.9%",2000,1760,"Jack's Return Home (1970), Ted Lewis",1970,1971,1
"309","Get Carter",118,"Get Carter",19412993,14967182,"77.1%","$4,445,811","22.9%",2000,1762,"Jack's Return Home (1970), Ted Lewis",1970,2000,30
"310","Get Shorty",20,"Get Shorty",72101622,72101622,"100%","-","-",1995,1383,"Get Shorty (1990), Elmore Leonard",1990,1995,5
"311","Gettysburg",105,"Gettysburg",10769960,10769960,"100%","-","-",1993,1901,"The Killer Angels (1974), Michael Shaara",1974,1993,19
"312","Girl with a Pearl Earring",115,"Girl with a Pearl Earring",33030115,11670971,"35.3%","$21,359,144","64.7%",2003,1398,"Girl with a Pearl Earring (1999), Tracy Chevalier",1999,2003,4
"313","Glory",45,"Glory",26828365,26828365,"100%","-","-",1989,2446,"One Gallant Rush (1965), Peter Burchard",1965,1989,24
"314","Glory",45,"Glory",26828365,26828365,"100%","-","-",1989,2013,"Lay This Laurel (1973), Lincoln Kirstein",1973,1989,16
"315","Gods and Generals",174,"Gods and Generals",12923936,12882934,"99.7%","$41,002","0.3%",2003,1416,"Gods and Generals (1996), Jeffrey Shaara",1996,2003,7
"316","Gods and Monsters",146,"Gods and Monsters",6451628,6451628,"100%","-","-",1998,1166,"Father of Frankenstein (1995),[34]Christopher Bram",1995,1998,3
"317","Gorky Park",47,"Gorky Park",15856028,15856028,"100%","-","-",1983,1436,"Gorky Park (1981), Martin Cruz Smith",1981,1983,2
"318","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1449,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1998,138
"319","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1451,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,2012,152
"320","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1445,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1934,74
"321","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1448,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1983,123
"322","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1446,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1946,86
"323","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1450,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1999,139
"324","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1447,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1974,114
"325","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1444,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1922,62
"326","Great Expectations",48,"Great Expectations",55494066,26420672,"47.6%","$29,073,394","52.4%",1998,1443,"Great Expectations (serialised 1860–1861, published as a book 1861), Charles Dickens",1860,1917,57
"327","Greystoke: The Legend of Tarzan, Lord of the Apes",15,"Greystoke: The Legend of Tarzan, Lord of the Apes",45858563,45858563,"100%","-","-",1984,3119,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",1912,1984,72
"328","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1495,"Gulliver's Travels (1726), Jonathan Swift",1726,1977,251
"329","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1496,"Gulliver's Travels (1726), Jonathan Swift",1726,1979,253
"330","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1489,"Gulliver's Travels (1726), Jonathan Swift",1726,1924,198
"331","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1503,"Gulliver's Travels (1726), Jonathan Swift",1726,2010,284
"332","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1491,"Gulliver's Travels (1726), Jonathan Swift",1726,1939,213
"333","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1499,"Gulliver's Travels (1726), Jonathan Swift",1726,1996,270
"334","Gulliver's Travels",30,"Gulliver's Travels",237382724,42779261,"18%","$194,603,463","82%",2010,1498,"Gulliver's Travels (1726), Jonathan Swift",1726,1983,257
"335","Half Moon Street",168,"Half Moon Street",1131399,1131399,"100%","-","-",1986,896,"Doctor Slaughter (1984), Paul Theroux",1984,1986,2
"336","Hannibal",10,"Hannibal",351692268,165092268,"46.9%","$186,600,000","53.1%",2001,1517,"Hannibal (1999), Thomas Harris",1999,2001,2
"337","Harry Potter and the Chamber of Secrets",2,"Harry Potter and the Chamber of Secrets",878979634,261988482,"29.8%","$616,991,152","70.2%",2002,1525,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",1997,2002,5
"338","Harry Potter and the Goblet of Fire",1,"Harry Potter and the Goblet of Fire",895921036,290013036,"32.4%","$605,908,000","67.6%",2005,1527,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",1997,2005,8
"339","Harry Potter and the Half-Blood Prince",2,"Harry Potter and the Half-Blood Prince",933959197,301959197,"32.3%","$632,000,000","67.7%",2009,1529,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",1997,2009,12
"340","Harry Potter and the Order of the Phoenix",2,"Harry Potter and the Order of the Phoenix",941944037,292004738,"31%","$649,928,484","69%",2007,1528,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",1997,2007,10
"341","Harry Potter and the Prisoner of Azkaban",2,"Harry Potter and the Prisoner of Azkaban",795634069,249541069,"31.4%","$546,093,000","68.6%",2004,1526,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",1997,2004,7
"342","Hart's War",109,"Hart's War",32287044,19077641,"59.1%","$13,209,403","40.9%",2002,1532,"Hart's War (1999), John Katzenbach",1999,2002,3
"343","Heidi's Song",97,"Heidi's Song",5124391,5124391,"100%","-","-",1982,1562,"Heidi (1880–81), Johanna Spyri",1880,1982,102
"344","High Fidelity",81,"High Fidelity",47126295,27287137,"57.9%","$19,839,158","42.1%",2000,1577,"High Fidelity (1995), Nick Hornby",1995,2000,5
"345","Homeward Bound II: Lost in San Francisco",49,"Homeward Bound II: Lost in San Francisco",32772492,32772492,"100%","-","-",1996,1717,"The Incredible Journey (1961), Sheila Burnford",1961,1996,35
"346","Homeward Bound: The Incredible Journey",34,"Homeward Bound: The Incredible Journey",41833324,41833324,"100%","-","-",1993,1716,"The Incredible Journey (1961), Sheila Burnford",1961,1993,32
"347","Hook",6,"Hook",119658146,119654823,"100%","-","-",1991,2508,"Peter and Wendy (1911)[N 28], J. M. Barrie",1911,1991,80
"348","Howards End",49,"Howards End",25968006,25966555,"100%","-","-",1992,1647,"Howards End (1910), E. M. Forster",1910,1992,82
"349","I Am Legend",7,"I Am Legend",585410052,256393010,"43.8%","$329,017,042","56.2%",2007,1697,"I Am Legend (1954), Richard Matheson",1954,2007,53
"350","I Am Number Four",52,"I Am Number Four",149878437,55100437,"36.8%","$94,778,000","63.2%",2011,1699,"I Am Number Four (2010), Pittacus Lore",2010,2011,1
"351","I Know What You Did Last Summer",25,"I Know What You Did Last Summer",72587919,72586134,"100%","-","-",1997,1700,"I Know What You Did Last Summer (1973), Lois Duncan",1973,1997,24
"352","I Know What You Did Last Summer",39,"I Know What You Did Last Summer",64763086,32165634,"49.7%","$32,597,452","50.3%",2025,1700,"I Know What You Did Last Summer (1973), Lois Duncan",1973,1997,24
"353","I Love Trouble",44,"I Love Trouble",30806194,30806194,"100%","-","-",1994,938,"The Double Take (1946), Roy Huggins",1946,1948,2
"354","I Still Know What You Did Last Summer",64,"I Still Know What You Did Last Summer",40003659,40002112,"100%","-","-",1998,1701,"I Know What You Did Last Summer (1973), Lois Duncan",1973,2000,27
"355","I Want to Eat Your Pancreas",157,"I Want to Eat Your Pancreas",33748006,277019,"0.8%","$33,470,987","99.2%",2017,1705,"I Want to Eat Your Pancreas (君の膵臓をたべたい, Kimi no Suizō o Tabetai) (2014), Yoru Sumino",2014,2018,4
"356","I, Frankenstein",97,"I, Frankenstein",76801179,19075290,"24.8%","$57,725,889","75.2%",2014,1328,"Frankenstein (1818), Mary Shelley",1818,2014,196
"357","Identity",61,"Identity",90259536,52159536,"57.8%","$38,100,000","42.2%",2003,165,"And Then There Were None (1939), Agatha Christie",1939,2003,64
"358","In Country",127,"In Country",3531971,3531971,"100%","-","-",1989,1714,"In Country (1985), Bobbie Ann Mason",1985,1989,4
"359","International Velvet",44,"International Velvet",7009238,7009238,"100%","-","-",1978,2340,"National Velvet (1935), Enid Bagnold",1935,1978,43
"360","Interview with the Vampire",11,"Interview with the Vampire",105301104,105264608,"100%","$31,262","<0.1%",1994,1723,"Interview with the Vampire (1976), Anne Rice",1976,1994,18
"361","Invasion of the Body Snatchers",19,"Invasion of the Body Snatchers",24947762,24946533,"100%","-","-",1978,448,"The Body Snatchers (1955), Jack Finney",1955,1978,23
"362","Invasion of the Body Snatchers",19,"Invasion of the Body Snatchers",24947762,24946533,"100%","-","-",1978,447,"The Body Snatchers (1955), Jack Finney",1955,1956,1
"363","Ironweed",96,"Ironweed",7393346,7393346,"100%","-","-",1987,1739,"Ironweed (1983), William Kennedy",1983,1987,4
"364","Islands in the Stream",30,"Islands in the Stream",5596173,5596173,"100%","-","-",1977,1747,"Islands in the Stream (1970), Ernest Hemingway",1970,1977,7
"365","Jack Reacher",37,"Jack Reacher",218340595,80070736,"36.7%","$138,269,859","63.3%",2012,2449,"One Shot (2004), Lee Child",2004,2012,8
"366","Jackie Brown",58,"Jackie Brown",39691818,39673162,"100%","-","-",1997,2798,"Rum Punch (1992), Elmore Leonard",1992,1997,5
"367","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1775,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,2011,164
"368","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1766,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1934,87
"369","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1763,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1910,63
"370","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1771,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1970,123
"371","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1774,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1997,150
"372","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1773,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1996,149
"373","Jane Eyre",145,"Jane Eyre",34710627,11242660,"32.4%","$23,467,967","67.6%",2011,1768,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1943,96
"374","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1775,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,2011,164
"375","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1766,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1934,87
"376","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1763,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1910,63
"377","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1771,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1970,123
"378","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1774,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1997,150
"379","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1773,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1996,149
"380","Jane Eyre",147,"Jane Eyre",5200601,5200601,"100%","-","-",1996,1768,"Jane Eyre (1847), Charlotte Brontë[N 31]",1847,1943,96
"381","Jason Bourne",19,"Jason Bourne",415484914,162434410,"39.1%","$253,050,504","60.9%",2016,478,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",1980,2016,36
"382","Jaws 2",7,"Jaws 2",77737272,77737272,"100%","-","-",1978,1780,"Jaws (1974), Peter Benchley",1974,1978,4
"383","Jaws 3-D",15,"Jaws 3-D",45517055,45517055,"100%","-","-",1983,1781,"Jaws (1974), Peter Benchley",1974,1983,9
"384","Jaws: The Revenge",55,"Jaws: The Revenge",20763013,20763013,"100%","-","-",1987,1782,"Jaws (1974), Peter Benchley",1974,1987,13
"385","John Carter",28,"John Carter",284139100,73078100,"25.7%","$211,061,000","74.3%",2012,2633,"A Princess of Mars (1917), Edgar Rice Burroughs",1917,2012,95
"386","Johnny Handsome",99,"Johnny Handsome",7237794,7237794,"100%","-","-",1989,3244,"The Three Worlds of Johnny Handsome (1973), Morton Freedgood",1973,1989,16
"387","Journey 2: The Mysterious Island",23,"Journey 2: The Mysterious Island",335260290,103860290,"31%","$231,400,000","69%",2012,2329,"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne",1874,2012,138
"388","Journey to the Center of the Earth",25,"Journey to the Center of the Earth",244232688,101704370,"41.6%","$142,528,318","58.4%",2008,1801,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",1864,1993,129
"389","Journey to the Center of the Earth",25,"Journey to the Center of the Earth",244232688,101704370,"41.6%","$142,528,318","58.4%",2008,1797,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",1864,1959,95
"390","Journey to the Center of the Earth",25,"Journey to the Center of the Earth",244232688,101704370,"41.6%","$142,528,318","58.4%",2008,1800,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",1864,1989,125
"391","Journey to the Center of the Earth",25,"Journey to the Center of the Earth",244232688,101704370,"41.6%","$142,528,318","58.4%",2008,1804,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",1864,2008,144
"392","Journey to the Center of the Earth",25,"Journey to the Center of the Earth",244232688,101704370,"41.6%","$142,528,318","58.4%",2008,1802,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",1864,2008,144
"393","Journey to the Center of the Earth",25,"Journey to the Center of the Earth",244232688,101704370,"41.6%","$142,528,318","58.4%",2008,1803,"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",1864,2008,144
"394","Journey to the West: Conquering the Demons",38,"Journey to the West: Conquering the Demons",205637183,18058,"<0.1%","$205,619,125","100%",2013,1837,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",1592,2013,421
"395","Journey to the West: The Demons Strike Back",39,"Journey to the West: The Demons Strike Back",247585244,880346,"0.4%","$246,704,898","99.6%",2017,1842,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",1592,2017,425
"396","Jurassic Park",1,"Jurassic Park",978167947,357067947,"36.5%","$621,100,000","63.5%",1993,1868,"Jurassic Park (1990), Michael Crichton",1990,1993,3
"397","Jurassic Park III",8,"Jurassic Park III",368780809,181171875,"49.1%","$187,608,934","50.9%",2001,1870,"Jurassic Park (1990), Michael Crichton",1990,2001,11
"398","Jurassic World",2,"Jurassic World",1670400637,652270625,"39%","$1,018,130,012","61%",2015,1871,"Jurassic Park (1990), Michael Crichton",1990,2015,25
"399","Jurassic World: Fallen Kingdom",3,"Jurassic World: Fallen Kingdom",1308467944,417719760,"31.9%","$890,748,184","68.1%",2018,1872,"Jurassic Park (1990), Michael Crichton",1990,2018,28
"400","Killer Elite",106,"Killer Elite",57084522,25124966,"44%","$31,959,556","56%",2011,1175,"The Feather Men (1991), Sir Ranulph Fiennes",1991,2011,20
"401","King Solomon's Mines",55,"King Solomon's Mines",15057465,15057465,"100%","-","-",1985,1888,"King Solomon's Mines (1885), Sir H. Rider Haggard",1885,1937,52
"402","King Solomon's Mines",55,"King Solomon's Mines",15057465,15057465,"100%","-","-",1985,1889,"King Solomon's Mines (1885), Sir H. Rider Haggard",1885,1950,65
"403","King Solomon's Mines",55,"King Solomon's Mines",15057465,15057465,"100%","-","-",1985,1892,"King Solomon's Mines (1885), Sir H. Rider Haggard",1885,1985,100
"404","King Solomon's Mines",55,"King Solomon's Mines",15057465,15057465,"100%","-","-",1985,1894,"King Solomon's Mines (1885), Sir H. Rider Haggard",1885,1986,101
"405","Kingdom of the Planet of the Apes",18,"Kingdom of the Planet of the Apes",397378150,171130165,"43.1%","$226,247,985","56.9%",2024,2573,"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",1963,2024,61
"406","Kiss of the Spider Woman",53,"Kiss of the Spider Woman",17005229,17005229,"100%","-","-",1985,1908,"Kiss of the Spider Woman (1976), Manuel Puig",1976,1985,9
"407","Kiss the Girls",34,"Kiss the Girls",60527873,60527873,"100%","-","-",1997,1909,"Kiss the Girls (1995), James Patterson",1995,1997,2
"408","L.A. Confidential",28,"L.A. Confidential",64617350,64616940,"100%","-","-",1997,1922,"L.A. Confidential (1990), James Ellroy",1990,1997,7
"409","Lassie",110,"Lassie",9994609,9979683,"99.9%","$14,926","0.1%",1994,1968,"Lassie Come-Home (1940), Eric Knight",1940,2005,65
"410","Lassie",110,"Lassie",9994609,9979683,"99.9%","$14,926","0.1%",1994,1967,"Lassie Come-Home (1940), Eric Knight",1940,1994,54
"411","Layer Cake",194,"Layer Cake",11850214,2339957,"19.7%","$9,510,257","80.3%",2004,2014,"Layer Cake (2000), J. J. Connolly",2000,2004,4
"412","Left Behind",189,"Left Behind",27405896,14019924,"51.2%","$13,385,972","48.8%",2014,2020,"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",1995,2014,19
"413","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2217,"Les Misérables (1862), Victor Hugo",1862,1922,60
"414","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2247,"Les Misérables (1862), Victor Hugo",1862,1978,116
"415","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2250,"Les Misérables (1862), Victor Hugo",1862,1982,120
"416","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2238,"Les Misérables (1862), Victor Hugo",1862,1958,96
"417","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2252,"Les Misérables (1862), Victor Hugo",1862,1995,133
"418","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2213,"Les Misérables (1862), Victor Hugo",1862,1911,49
"419","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2256,"Les Misérables (1862), Victor Hugo",1862,2011,149
"420","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2251,"Les Misérables (1862), Victor Hugo",1862,1988,126
"421","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2214,"Les Misérables (1862), Victor Hugo",1862,1913,51
"422","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2219,"Les Misérables (1862), Victor Hugo",1862,1925,63
"423","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2216,"Les Misérables (1862), Victor Hugo",1862,1917,55
"424","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2257,"Les Misérables (1862), Victor Hugo",1862,2012,150
"425","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2234,"Les Misérables (1862), Victor Hugo",1862,1952,90
"426","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2254,"Les Misérables (1862), Victor Hugo",1862,1998,136
"427","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2223,"Les Misérables (1862), Victor Hugo",1862,1934,72
"428","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2258,"Les Misérables (1862), Victor Hugo",1862,2019,157
"429","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2211,"Les Misérables (1862), Victor Hugo",1862,1909,47
"430","Les Misérables",15,"Les Misérables",442299309,148809770,"33.6%","$293,489,539","66.4%",2012,2224,"Les Misérables (1862), Victor Hugo",1862,1935,73
"431","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2217,"Les Misérables (1862), Victor Hugo",1862,1922,60
"432","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2247,"Les Misérables (1862), Victor Hugo",1862,1978,116
"433","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2250,"Les Misérables (1862), Victor Hugo",1862,1982,120
"434","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2238,"Les Misérables (1862), Victor Hugo",1862,1958,96
"435","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2252,"Les Misérables (1862), Victor Hugo",1862,1995,133
"436","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2213,"Les Misérables (1862), Victor Hugo",1862,1911,49
"437","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2256,"Les Misérables (1862), Victor Hugo",1862,2011,149
"438","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2251,"Les Misérables (1862), Victor Hugo",1862,1988,126
"439","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2214,"Les Misérables (1862), Victor Hugo",1862,1913,51
"440","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2219,"Les Misérables (1862), Victor Hugo",1862,1925,63
"441","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2216,"Les Misérables (1862), Victor Hugo",1862,1917,55
"442","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2257,"Les Misérables (1862), Victor Hugo",1862,2012,150
"443","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2234,"Les Misérables (1862), Victor Hugo",1862,1952,90
"444","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2254,"Les Misérables (1862), Victor Hugo",1862,1998,136
"445","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2223,"Les Misérables (1862), Victor Hugo",1862,1934,72
"446","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2258,"Les Misérables (1862), Victor Hugo",1862,2019,157
"447","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2211,"Les Misérables (1862), Victor Hugo",1862,1909,47
"448","Les Misérables",109,"Les Misérables",14096321,14096321,"100%","-","-",1998,2224,"Les Misérables (1862), Victor Hugo",1862,1935,73
"449","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2217,"Les Misérables (1862), Victor Hugo",1862,1922,60
"450","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2247,"Les Misérables (1862), Victor Hugo",1862,1978,116
"451","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2250,"Les Misérables (1862), Victor Hugo",1862,1982,120
"452","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2238,"Les Misérables (1862), Victor Hugo",1862,1958,96
"453","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2252,"Les Misérables (1862), Victor Hugo",1862,1995,133
"454","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2213,"Les Misérables (1862), Victor Hugo",1862,1911,49
"455","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2256,"Les Misérables (1862), Victor Hugo",1862,2011,149
"456","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2251,"Les Misérables (1862), Victor Hugo",1862,1988,126
"457","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2214,"Les Misérables (1862), Victor Hugo",1862,1913,51
"458","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2219,"Les Misérables (1862), Victor Hugo",1862,1925,63
"459","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2216,"Les Misérables (1862), Victor Hugo",1862,1917,55
"460","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2257,"Les Misérables (1862), Victor Hugo",1862,2012,150
"461","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2234,"Les Misérables (1862), Victor Hugo",1862,1952,90
"462","Les Misérables",111,"Les Misérables",54606372,330181,"0.6%","$54,276,191","99.4%",2019,2254,"Les Misérables (1862), Victor Hugo",1862,1998,136
